"Fisher_pvalue" "genomic_RC_A" "genomic_RC_B" "transcript_RC_A" "transcript_RC_B"
"1" NA 21 0 11 0
"2" 0.675719460369071 6 14 2 9
"3" NA 0 25 0 8
"4" 0.363020368582104 14 11 5 1
"5" 1 2 19 4 25
"6" NA 0 13 0 11
"7" NA 12 0 15 0
"8" NA 17 0 21 0
"9" 0.466145608514424 8 11 3 8
"10" NA 0 28 0 17
"11" 0.505475577859527 5 15 8 13
"12" 0.535035631435875 15 6 14 9
"13" 0.167207792207792 13 18 4 1
"14" 1 32 2 11 1
"15" NA 0 44 0 11
"16" 1 1 35 0 6
"17" 1 1 29 0 11
"18" 1 1 18 0 8
"19" 0.248083037602345 12 10 9 16
"20" 0.596153846153846 17 2 20 1
"21" 1 2 17 0 7
"22" 0.234234234234234 3 17 0 17
"23" NA 42 0 4 0
"24" 1 33 1 13 0
"25" 0.0547652916073968 26 2 8 4
"26" NA 0 33 0 6
"27" 1 4 23 1 11
"28" NA 0 18 0 15
"29" 0.00102256801850694 6 15 33 12
"30" NA 20 0 19 0
"31" 1 8 27 3 9
"32" 0.495495495495496 19 2 16 0
"33" NA 24 0 17 0
"34" 1 17 1 16 1
"35" NA 0 24 0 28
"36" NA 0 43 0 10
"37" NA 0 29 0 8
"38" NA 31 0 1 0
"39" 1 2 27 2 18
"40" 0.721813927219871 8 22 3 14
"41" 0.539243365330322 14 4 5 0
"42" 0.38582066649778 5 32 3 9
"43" 0.538123167155425 1 20 2 10
"44" 0.778551019563027 17 16 9 11
"45" NA 0 22 3 15
"46" 1 2 20 1 13
"47" 0.405935533307407 4 50 3 19
"48" 0.518013631937683 54 1 23 1
"49" NA 17 0 6 1
"50" 0.46551724137931 26 1 31 0
"51" 0.525691699604743 12 3 8 0
"52" 0.415297136120935 5 12 5 5
"53" 0.163518952358301 11 18 2 12
"54" NA 33 0 10 0
"55" NA 0 27 0 10
"56" 1 1 37 0 9
"57" 0.0800766283524903 6 9 1 13
"58" 1 1 19 0 13
"59" 0.757463334744325 10 13 7 12
"60" NA 39 0 20 0
"61" NA 0 23 0 6
"62" 1 2 24 0 10
"63" NA 45 0 27 0
