"Fisher_pvalue" "genomic_RC_A" "genomic_RC_B" "transcript_RC_A" "transcript_RC_B"
"1" NA 16 0 45 0
"2" 1 4 5 5 5
"3" 0.164510934463023 4 7 23 13
"4" NA 0 10 0 30
"5" NA 12 0 30 0
"6" NA 13 0 21 0
"7" 0.408347108497034 2 10 6 11
"8" 0.482758620689655 2 13 0 14
"9" 0.477531562184445 6 6 9 18
"10" NA 12 0 20 0
"11" 0.239848828737386 1 13 7 22
"12" 1 6 3 5 2
"13" 0.213668782307138 1 10 8 15
"14" NA 0 19 0 31
"15" NA 11 0 35 0
"16" NA 7 0 43 4
"17" 0.201118881118881 1 8 7 11
"18" 0.332222723279453 12 11 12 5
"19" NA 0 8 0 31
"20" NA 18 0 31 0
"21" NA 8 0 17 0
"22" 1 6 6 13 15
"23" 0.370309068237526 9 5 22 23
"24" 0.710007150784956 11 2 31 11
"25" NA 15 0 31 0
"26" NA 14 0 16 0
"27" NA 10 0 23 0
"28" 0.700599982937532 2 12 7 25
"29" 0.626659509001098 20 14 17 17
"30" NA 0 18 0 15
"31" NA 0 17 1 32
"32" 0.694392803598201 9 5 12 4
"33" 0.399858817489518 6 4 18 5
"34" NA 0 11 0 15
"35" NA 13 0 32 3
"36" NA 0 14 0 24
"37" 0.439024390243902 17 1 23 0
"38" 1 7 6 12 11
"39" NA 26 0 20 0
"40" NA 0 10 14 40
"41" NA 15 0 29 0
"42" 0.689130434782609 11 4 8 5
"43" NA 17 0 38 0
"44" NA 20 0 43 0
"45" 1 13 1 28 2
"46" 1 14 1 30 2
"47" NA 12 0 32 0
"48" 0.772796415274411 8 8 20 26
"49" 0.103188405797102 6 7 2 12
"50" NA 0 26 0 47
"51" 0.630224458204334 3 4 4 11
"52" 0.404761904761905 1 16 0 25
"53" NA 12 0 25 0
"54" NA 21 0 41 0
"55" 1 2 13 2 15
"56" 0.625713460238705 13 2 43 4
"57" 1 5 1 33 8
"58" 1 7 1 27 3
"59" NA 21 0 55 3
"60" 0.49596470263811 6 1 36 3
"61" 0.658571252008404 4 13 2 13
"62" 1 5 16 6 18
"63" 1 7 1 29 3
"64" NA 12 0 23 0
"65" 1 7 3 20 8
"66" NA 0 11 0 33
"67" NA 0 12 0 18
"68" NA 17 0 24 0
"69" NA 18 0 13 0
"70" NA 0 17 0 22
"71" NA 0 19 0 23
"72" NA 0 23 0 21
"73" NA 4 0 35 0
"74" NA 18 0 12 0
"75" NA 9 0 9 0
"76" 0.553974659243624 4 18 12 34
"77" NA 0 9 0 48
"78" 1 7 12 6 11
"79" 1 5 7 6 9
"80" NA 9 0 20 0
"81" 0.388144725128263 29 1 37 4
"82" NA 9 0 15 1
"83" NA 9 0 30 0
"84" 0.703567101897968 7 7 5 9
"85" NA 26 0 26 0
"86" NA 0 10 0 40
"87" 1 3 5 13 19
"88" 1 14 1 12 1
"89" NA 13 0 35 1
"90" NA 0 9 8 14
"91" 0.423925667828107 9 1 31 1
"92" NA 0 18 0 24
"93" NA 19 0 15 0
"94" NA 29 0 22 1
"95" NA 6 0 24 0
"96" NA 11 0 20 1
"97" NA 0 14 0 26
"98" 1 9 1 19 3
"99" NA 0 8 0 21
"100" 0.469834087481146 1 13 1 37
"101" 0.327417256327063 11 3 22 14
"102" NA 34 0 21 0
"103" NA 0 7 0 28
"104" NA 10 0 21 0
"105" NA 0 12 0 25
"106" 0.120567375886525 3 14 1 30
"107" NA 18 0 12 0
"108" 0.0591585358777981 1 7 20 19
"109" 0.241246355755139 19 1 31 7
"110" NA 5 0 26 0
"111" NA 16 0 45 3
"112" 0.138022084150784 9 1 25 15
"113" 0.110924369747899 10 2 23 0
"114" 0.311511734203614 6 17 7 9
"115" 0.743193321253293 9 4 23 16
"116" NA 19 0 27 0
"117" NA 10 0 19 0
"118" NA 15 0 32 0
"119" 0.0109848301655624 2 13 11 7
"120" NA 24 0 14 0
"121" NA 0 9 0 15
"122" NA 16 0 24 0
"123" 0.423529946619426 9 1 30 10
"124" NA 0 11 0 32
"125" NA 0 10 0 26
"126" 0.716171342120109 5 10 6 19
"127" 1 2 9 9 39
"128" NA 18 0 19 0
"129" NA 0 11 0 32
"130" NA 0 10 0 19
"131" NA 0 9 0 11
"132" 0.598260869565218 11 3 11 1
"133" 0.391076665270214 17 2 13 4
"134" NA 15 0 38 1
"135" NA 14 0 12 2
"136" NA 0 10 0 6
"137" NA 0 9 0 35
"138" 0.618983957219251 17 3 14 1
"139" NA 27 0 38 0
"140" 0.506736216115047 6 5 21 31
"141" 0.211085227511421 4 18 2 30
"142" 0.0196560196560197 18 1 12 8
"143" NA 9 0 14 0
"144" 0.637232018233302 2 7 5 27
"145" NA 9 0 20 2
"146" 0.158080816625927 9 7 21 5
"147" 0.395537908867461 22 2 17 4
"148" 0.685390780810813 15 6 6 4
"149" NA 0 14 0 55
"150" 0.497623838451756 5 9 10 30
"151" 0.682825254039647 8 4 13 4
"152" NA 0 15 3 21
"153" NA 13 0 22 0
"154" 0.606920022688599 2 19 1 21
"155" 0.737726494998139 4 8 16 21
"156" NA 18 0 13 0
"157" NA 0 17 4 21
"158" NA 17 0 26 0
"159" NA 14 0 55 0
"160" NA 14 0 17 3
"161" NA 0 8 0 32
"162" NA 0 12 0 28
"163" 0.527499929087608 6 10 11 29
"164" 0.0904557636220268 8 8 5 18
"165" NA 29 0 24 2
"166" 0.331758909686928 7 6 11 19
"167" 1 11 6 19 12
"168" NA 0 9 0 27
"169" NA 11 0 8 0
"170" 1 1 15 2 28
"171" 0.639943074003795 11 1 19 4
"172" NA 13 0 23 1
"173" NA 14 0 13 0
"174" NA 0 13 3 19
"175" 0.443017494185459 6 12 3 15
"176" 0.0331084760142824 13 5 10 17
"177" 0.550395256916996 2 8 1 13
"178" 0.490243902439024 2 20 0 19
"179" NA 0 18 0 24
"180" NA 26 0 40 0
"181" 0.352386743691092 5 1 11 9
"182" NA 0 3 0 25
"183" NA 17 0 29 0
"184" NA 18 0 31 0
"185" NA 0 13 0 20
"186" NA 0 17 2 30
"187" NA 0 11 0 22
"188" NA 0 14 2 24
"189" NA 12 0 58 0
"190" 1 15 8 11 7
"191" NA 0 14 0 26
"192" NA 6 0 25 0
"193" 0.353396520906211 3 6 7 35
"194" 0.732527687769019 7 11 7 8
"195" NA 0 14 0 42
"196" 0.288742851748494 6 5 11 22
"197" NA 9 0 4 0
"198" NA 22 0 21 0
"199" 0.438522692383191 10 2 15 7
"200" NA 7 0 33 0
"201" NA 11 0 13 1
"202" NA 19 0 18 6
"203" NA 0 12 1 12
"204" 0.632815460401667 7 2 17 3
"205" 0.60805919211121 8 14 23 28
"206" 0.339230507641032 12 7 29 8
"207" 1 2 1 14 8
"208" NA 17 0 43 0
"209" NA 10 0 20 0
"210" 0.732654182401889 3 14 10 28
"211" 0.512350054161039 16 4 19 9
"212" NA 0 15 0 16
"213" 0.0914842981734939 11 4 8 11
"214" NA 15 0 30 0
"215" 1 10 8 8 6
"216" 1 16 3 35 9
"217" NA 0 15 0 28
"218" NA 19 0 32 0
"219" NA 16 0 29 3
"220" 0.445218658804447 4 15 5 36
"221" NA 4 0 23 0
"222" 0.497921487840877 12 3 22 11
"223" 1 3 19 5 24
