"Fisher_pvalue" "genomic_RC_A" "genomic_RC_B" "transcript_RC_A" "transcript_RC_B"
"1" NA 0 17 0 8
"2" NA 9 0 8 0
"3" 0.345114345114345 17 18 4 1
"4" 1 2 13 1 8
"5" 1 13 2 13 3
"6" 1 23 2 12 0
"7" 0.551920341394026 25 3 10 0
"8" NA 21 0 4 0
"9" 1 2 19 2 18
"10" 0.63088594667542 21 2 13 3
"11" 1 6 21 2 7
"12" 1 5 25 3 14
"13" NA 0 16 0 6
"14" NA 27 0 11 0
"15" 0.763676750640461 19 12 13 6
"16" 1 1 14 0 8
"17" 0.703198025047627 8 9 4 8
"18" 0.5006722445229 11 5 11 9
"19" NA 0 34 0 9
"20" 1 21 3 7 0
"21" 1 27 2 11 0
"22" NA 0 30 0 9
"23" NA 11 0 5 0
"24" NA 26 0 20 0
"25" 1 38 2 16 1
"26" 0.616240266963293 21 4 6 2
"27" NA 18 0 11 0
"28" NA 17 0 18 0
"29" 1 18 3 5 0
"30" NA 0 20 0 8
"31" 0.223790322580645 21 1 8 2
"32" 0.522173791517174 4 23 8 26
"33" NA 32 0 7 0
"34" NA 0 23 0 3
"35" 1 1 34 0 5
"36" 1 16 8 13 6
"37" 1 25 1 4 0
"38" NA 12 0 5 0
"39" 0.000546826071919314 19 8 0 8
"40" 1 35 4 3 0
"41" 0.354076294322834 9 38 3 26
"42" 1 27 2 1 0
"43" 1 10 20 4 8
"44" NA 24 0 22 0
"45" NA 0 22 0 5
"46" 0.0613318540091996 3 14 5 3
"47" NA 0 7 0 14
"48" NA 15 0 5 0
"49" NA 0 23 0 12
"50" 0.147090999263348 14 12 10 2
"51" 0.441711229946524 27 5 2 1
"52" 1 4 9 3 9
"53" NA 0 20 0 12
"54" 0.261717032302707 12 9 8 2
"55" 0.191452991452991 2 20 2 4
"56" 1 14 2 29 4
"57" NA 0 18 0 9
"58" 1 6 9 3 4
"59" NA 0 31 1 20
"60" 0.479768895316043 19 21 3 7
"61" 0.647214854111406 5 16 1 7
"62" 1 19 1 6 0
"63" 0.0925665372441984 11 10 1 7
"64" NA 22 0 7 1
"65" 0.189624261568734 9 21 3 21
"66" 1 5 27 2 13
"67" NA 20 0 7 0
"68" NA 19 0 3 0
"69" NA 23 0 4 0
"70" 1 12 1 13 2
"71" NA 29 0 15 0
"72" NA 0 21 0 5
"73" 1 1 18 0 4
"74" NA 0 10 0 3
"75" NA 0 12 0 4
"76" NA 0 16 0 7
"77" NA 30 0 16 0
"78" 1 13 13 5 4
"79" NA 0 26 0 7
"80" NA 21 0 14 0
"81" NA 29 0 11 0
"82" 1 26 11 10 5
"83" NA 0 29 0 13
"84" 0.245159062725831 6 18 12 16
"85" NA 20 0 18 4
"86" 0.354360165118679 5 8 1 6
"87" 1 3 16 3 17
"88" 1 6 17 4 9
"89" 1 12 5 14 5
"90" 1 10 13 4 5
"91" 0.37070938215103 7 10 4 2
"92" 1 1 29 0 4
"93" NA 46 0 15 0
"94" 0.713139921267437 6 10 7 7
"95" 0.748639339150535 13 8 9 7
"96" 1 6 20 3 13
"97" 1 3 12 0 2
"98" 0.693905419194251 21 13 4 4
"99" NA 0 22 0 13
"100" 1 14 1 17 1
"101" NA 0 12 0 9
"102" 0.545299145299145 19 2 5 1
"103" 1 1 22 0 8
"104" 1 11 10 2 3
"105" 0.173581011351909 6 7 1 7
"106" 1 1 13 0 10
"107" 1 10 10 5 4
"108" 0.388409052905552 19 4 7 4
"109" 1 1 24 0 9
"110" 0.552608311229001 5 19 0 5
