"Fisher_pvalue" "genomic_RC_A" "genomic_RC_B" "transcript_RC_A" "transcript_RC_B"
"1" NA 0 19 0 13
"2" NA 2 0 11 0
"3" NA 0 7 3 7
"4" 1 5 2 4 3
"5" NA 7 0 13 0
"6" 0.103432494279176 5 6 12 3
"7" NA 0 19 0 23
"8" NA 0 22 0 10
"9" 0.361848059061681 8 3 4 5
"10" 1 7 2 25 10
"11" NA 0 12 0 16
"12" 0.480115351083093 4 16 7 13
"13" 1 9 8 15 11
"14" 0.225806451612903 3 13 0 15
"15" 0.217391304347826 3 9 0 12
"16" NA 0 8 2 23
"17" 0.184529819457517 4 4 5 18
"18" NA 22 0 7 0
"19" NA 0 10 0 10
"20" NA 13 0 8 0
"21" 1 4 6 3 7
"22" NA 0 14 0 13
"23" 0.333075335397317 7 5 6 1
"24" NA 7 0 38 0
"25" NA 16 0 14 0
"26" NA 22 0 20 0
"27" NA 0 11 0 21
"28" NA 6 0 12 0
"29" NA 0 19 1 15
"30" NA 0 9 1 10
"31" NA 0 9 0 4
"32" NA 0 12 0 11
"33" NA 9 0 16 0
"34" NA 0 11 0 6
"35" NA 0 10 0 9
"36" 0.467232109751576 3 11 8 14
"37" 0.2 5 8 2 0
"38" NA 22 0 14 2
"39" 0.0857572902262631 8 1 7 7
"40" 1 9 2 12 2
"41" NA 0 17 0 16
"42" NA 10 0 14 0
"43" 0.340643714759882 9 13 10 7
"44" NA 13 0 19 2
"45" 0.148606811145511 6 5 9 1
"46" 0.634208950115513 1 9 5 16
"47" 1 2 6 3 12
"48" NA 0 10 0 16
"49" NA 18 0 15 0
"50" 0.270774675139245 15 2 18 7
"51" 1 15 1 12 1
"52" NA 14 0 16 0
"53" 1 1 18 0 5
"54" 0.631093544137022 4 12 1 7
"55" NA 0 9 0 16
"56" 0.716568305277983 5 12 5 18
"57" 0.675174989904428 6 9 5 4
"58" NA 17 0 11 0
"59" NA 0 14 0 7
"60" 0.0977777777777778 3 10 0 14
"61" NA 12 0 14 0
"62" NA 0 17 0 20
"63" 0.619721407624633 16 3 13 1
"64" NA 16 0 26 0
"65" NA 0 18 2 35
"66" 0.715987167706469 5 6 11 9
"67" 0.382635617175932 4 10 5 4
"68" 1 3 18 2 10
"69" 0.428307982231794 6 4 6 9
"70" NA 0 8 0 14
"71" NA 11 0 13 0
"72" 1 3 4 4 3
"73" NA 0 17 0 17
"74" NA 5 0 22 0
"75" 0.682825254039647 13 4 8 4
"76" 0.380804953560371 7 5 8 2
"77" NA 0 25 0 8
"78" NA 0 9 0 22
"79" NA 0 8 0 20
"80" 0.236460717009916 6 7 3 11
"81" 0.0785085652662392 8 5 5 13
"82" NA 0 14 0 31
"83" 1 1 9 3 18
"84" 1 3 4 3 4
"85" NA 6 0 26 0
"86" 1 2 16 3 16
"87" 0.51745683391957 15 10 7 8
"88" NA 11 0 3 0
"89" NA 0 7 0 14
"90" NA 9 0 10 0
"91" NA 7 0 17 3
"92" 0.316770186335404 1 11 4 8
"93" NA 0 17 0 9
"94" 0.547287390029325 2 11 1 19
"95" 1 4 1 15 3
"96" NA 14 0 7 0
"97" 1 9 10 3 3
"98" NA 0 21 0 3
"99" 0.525274725274725 8 1 4 2
"100" 1 8 2 10 2
"101" NA 0 11 0 10
"102" 0.241379310344828 6 1 22 0
"103" NA 16 0 17 0
"104" NA 0 14 0 14
"105" NA 13 0 17 0
"106" NA 18 0 16 0
"107" NA 7 0 11 2
"108" 0.485294117647059 8 2 7 0
"109" NA 13 0 13 0
"110" NA 0 12 0 12
"111" 1 14 6 17 8
"112" NA 0 7 0 16
"113" NA 10 0 8 0
"114" 0.576470588235294 3 1 6 8
"115" 1 10 2 6 1
"116" NA 0 12 0 2
"117" 0.274180954635464 11 5 6 7
"118" 1 9 8 6 5
"119" NA 10 0 7 0
"120" 1 12 2 17 3
"121" NA 0 10 1 16
"122" NA 0 4 4 12
"123" NA 10 0 14 0
"124" 1 6 1 5 0
"125" NA 7 0 22 0
"126" 1 3 9 3 12
"127" NA 0 14 1 2
"128" NA 23 0 25 0
"129" NA 0 12 0 27
"130" 0.246892682690913 7 6 14 4
"131" NA 0 4 0 15
"132" NA 0 22 0 20
"133" NA 0 24 0 20
"134" 1 4 10 4 11
"135" NA 23 0 17 2
"136" NA 0 11 0 18
"137" NA 0 2 19 4
"138" NA 0 7 0 15
"139" NA 17 0 10 0
"140" NA 17 0 15 0
"141" 0.310344827586207 1 8 0 20
"142" 0.596816976127321 18 3 6 2
"143" NA 0 20 0 19
"144" 1 1 17 1 9
"145" NA 8 0 14 0
"146" 0.248714104486218 2 7 10 11
"147" 1 1 11 1 14
"148" 1 2 14 2 9
"149" 0.707985303535915 6 11 4 13
"150" NA 0 15 0 14
"151" NA 11 0 12 0
"152" NA 0 14 0 5
"153" 1 2 21 1 16
"154" 1 2 8 2 11
"155" NA 0 12 0 10
"156" NA 8 0 5 2
"157" NA 13 0 6 0
"158" NA 0 11 0 20
"159" 0.689113656571218 2 7 7 15
"160" NA 8 0 8 0
"161" NA 12 0 18 0
"162" NA 0 5 0 8
"163" NA 11 0 31 0
"164" NA 0 18 0 12
"165" 0.736039848915629 5 17 6 15
"166" NA 0 9 0 15
"167" NA 13 0 13 0
"168" NA 15 0 19 0
"169" NA 18 0 34 0
"170" NA 0 15 0 7
"171" NA 0 17 0 19
"172" NA 19 0 14 0
"173" NA 0 8 0 6
"174" NA 0 12 0 16
"175" NA 4 0 9 0
"176" NA 11 0 16 0
"177" 0.58041958041958 5 5 1 3
"178" 0.612616099071208 9 6 5 1
"179" NA 0 15 0 8
"180" 1 4 11 3 8
"181" 0.632815460401667 5 1 15 8
"182" NA 0 9 0 16
"183" NA 17 0 22 0
"184" 1 1 9 1 9
"185" 0.266258299421718 6 13 6 5
"186" NA 19 0 18 0
"187" 0.0686530860443904 14 2 5 5
"188" NA 0 6 0 21
"189" 0.653936472623903 4 12 2 14
"190" 1 20 3 13 2
"191" 0.473684210526316 2 8 0 10
"192" 0.21766590389016 11 3 6 6
"193" NA 18 0 15 0
"194" NA 0 17 0 12
"195" 0.371980676328503 13 2 9 4
"196" NA 8 0 12 2
"197" 1 4 6 6 10
"198" 0.590062111801242 3 9 1 11
"199" 0.768815326323508 7 13 13 17
"200" 1 3 18 2 11
"201" 1 1 13 2 14
"202" 0.659442724458205 5 6 3 8
"203" NA 0 8 5 19
"204" NA 0 6 10 10
"205" 0.222222222222222 1 3 0 14
"206" 1 11 1 16 1
"207" 0.165985616214449 1 10 5 8
"208" NA 16 0 16 0
"209" NA 13 0 28 0
"210" NA 8 0 14 0
"211" NA 7 0 12 0
"212" 0.214285714285714 8 2 11 0
"213" NA 9 0 21 0
"214" NA 0 18 0 11
