"Fisher_pvalue" "genomic_RC_A" "genomic_RC_B" "transcript_RC_A" "transcript_RC_B"
"1" 0.0413268733400386 13 38 6 56
"2" 1 15 53 16 61
"3" NA 0 51 0 100
"4" 0.518616002720834 26 54 13 20
"5" 0.689606146750421 14 53 18 83
"6" 0.493978307812796 26 10 34 20
"7" NA 31 0 88 0
"8" 0.620860006653452 7 49 12 61
"9" NA 0 85 0 104
"10" 0.326972729994989 9 34 16 100
"11" 0.00338546980053371 7 50 30 58
"12" 0.786215088585776 8 59 7 66
"13" NA 55 0 74 0
"14" 0.851598017709635 22 22 43 38
"15" NA 0 42 2 105
"16" NA 0 67 0 55
"17" 0.278590875857795 22 35 24 57
"18" 0.526977902388355 48 13 82 16
"19" 0.696577921960782 35 18 50 21
"20" 0.823921942858252 10 69 14 113
"21" 1 42 5 74 8
"22" NA 0 44 9 68
"23" NA 24 0 63 0
"24" 0.241743843578973 40 23 24 23
"25" NA 0 34 0 74
"26" 0.514215393468387 63 7 49 3
"27" NA 40 0 63 0
"28" 0.549241111160043 14 30 27 43
"29" 0.301959690416733 67 3 106 1
"30" 1 7 55 8 58
"31" 0.485591665433905 26 14 32 12
"32" 1 5 25 12 67
"33" NA 0 64 0 112
"34" 0.0729179721014528 59 3 85 0
"35" NA 85 0 126 12
"36" NA 0 85 0 148
"37" NA 58 0 113 0
"38" 1 30 1 56 1
"39" 0.13343545294719 9 25 4 31
"40" 0.0834979814164522 28 14 80 19
"41" NA 64 0 51 0
"42" 0.085717573870324 12 30 24 26
"43" NA 50 0 71 0
"44" NA 27 0 100 0
"45" NA 0 37 3 58
"46" 1 8 68 11 87
"47" NA 0 25 0 61
"48" NA 0 42 0 53
"49" NA 58 0 80 4
"50" 0.528216722074494 34 19 34 14
"51" 0.553474232801431 5 64 7 58
"52" 0.15205141911422 27 31 25 51
"53" 1 72 1 70 1
"54" 0.364435267056117 4 49 1 48
"55" NA 0 41 1 90
"56" 0.458993251336328 22 21 57 39
"57" 0.3378144246132 3 58 1 69
"58" 0.0354160828969368 72 3 36 7
"59" 1 8 53 19 115
"60" 1 59 2 95 4
"61" 0.80979810537205 44 11 49 10
"62" NA 48 0 54 0
"63" NA 64 0 35 0
"64" 1 1 58 1 104
"65" 0.625053411194986 54 1 63 3
"66" 0.695352890315708 15 37 23 47
"67" 1 71 4 67 4
"68" 0.41555961613891 15 33 20 63
"69" 0.360972178015244 3 51 9 72
"70" 1 1 75 2 81
"71" 0.0686272375935191 13 41 5 48
"72" 0.682701577537498 38 18 31 18
"73" 1 38 3 80 7
"74" 0.0527477765094955 30 24 19 35
"75" 0.250872404850388 4 51 9 53
"76" 0.23305815809425 30 35 27 48
"77" 0.0783033971425806 30 14 32 31
"78" NA 0 65 0 76
"79" 0.611460000450826 1 56 2 52
"80" 0.480414483906223 11 30 13 51
"81" 0.659924898762683 13 42 13 53
"82" NA 0 39 0 54
"83" 0.0384329217264597 43 15 63 8
"84" 1 83 2 84 1
"85" 0.0709010218958354 6 33 5 98
"86" 0.15220932234187 1 61 3 35
"87" NA 0 39 1 79
"88" 0.408982094605423 41 13 41 20
"89" NA 0 29 2 75
"90" 0.690450888598168 43 3 109 5
"91" 0.00202062374081215 32 16 64 7
"92" 0.0493648613845444 53 4 66 16
"93" 0.000926946124740473 39 32 65 16
"94" 0.735580405242695 5 32 5 47
"95" 0.247358064321056 30 4 88 5
"96" 0.000329673312810697 15 20 85 26
"97" 1 46 2 52 3
"98" 0.135012217178645 38 12 59 8
"99" 0.236502627806976 43 2 47 0
"100" 1 29 2 86 8
"101" 0.343425982564308 4 67 6 52
"102" 0.0769819657275199 11 49 8 90
"103" NA 0 72 0 74
"104" NA 47 0 59 0
"105" NA 38 0 80 3
"106" 1 1 103 0 42
"107" 0.237199884621934 59 11 35 12
"108" NA 35 0 68 4
"109" 0.303976684203628 3 42 6 36
"110" 0.74416329779464 29 42 33 55
"111" NA 0 39 0 94
"112" 0.261610010400973 19 20 60 41
"113" 1 31 27 41 36
"114" 1 16 52 20 66
"115" 1 1 47 3 75
"116" 0.224911262021335 4 54 4 144
"117" 0.0163679634005899 43 15 50 42
"118" 1 20 50 22 58
"119" 0.118841311676137 16 47 36 57
"120" 0.62939563130571 44 3 35 1
